Wall time,Step,Value
1495170485.7814522,60800,2.753734588623047e-05
1495170784.4947531,61000,1.2636184692382812e-05
1495170888.0667858,61200,1.9550323486328125e-05
1495170987.6065483,61400,1.6748905181884766e-05
1495171078.020821,61600,2.872943878173828e-05
1495171170.3054342,61800,8.398294448852539e-05
1495171471.7987108,62000,5.340576171875e-05
1495171578.3774562,62200,2.777576446533203e-05
1495171669.0712624,62400,3.4332275390625e-05
1495171765.8272169,62600,2.014636993408203e-05
1495171858.6923637,62800,3.1113624572753906e-05
1495172172.8445847,63000,4.076957702636719e-05
1495172278.3285909,63200,4.696846008300781e-05
1495172371.0343482,63400,1.0311603546142578e-05
1495172470.61249,63600,3.409385681152344e-05
1495172563.7165813,63800,2.4616718292236328e-05
1495172866.2673628,64000,2.7298927307128906e-05
1495172967.0315137,64200,2.4259090423583984e-05
1495173070.0585973,64400,2.86102294921875e-05
1495173161.064166,64600,2.0623207092285156e-05
1495173252.2256536,64800,2.7835369110107422e-05
1495173556.6271544,65000,3.063678741455078e-05
1495173666.6823483,65200,1.7940998077392578e-05
1495173756.149093,65400,3.6776065826416016e-05
1495173856.0007393,65600,2.2113323211669922e-05
1495173951.2531524,65800,2.276897430419922e-05
1495174259.2342389,66000,2.759695053100586e-05
1495174361.2676656,66200,2.4378299713134766e-05
1495174451.1108305,66400,4.303455352783203e-05
1495174550.5314586,66600,1.8894672393798828e-05
1495174642.2818468,66800,4.00543212890625e-05
